VARIABLE_MAP,ICARTT_NAME,ICARTT_UNITS,ICARTT_SCALE,ICARTT_FILL,OUTPUT_INCLUDE,OUTPUT_NAME,OUTPUT_UNITS,OUTPUT_SCALE,OUTPUT_FILL,USER_FUNC
NULL,CO_MixingRatio_PICARRO,ppmv,1.0,-999999.0,1,CO_MixingRatio_PICARRO,ppmv,1.0,-999999.0,NULL
NULL,C3H8_MoleFraction_PFP,ppt,1.0,-999999.0,1,C3H8_MoleFraction_PFP,ppt,1.0,-999999.0,NULL
NULL,WND,Degs,1.0,-999999.0,1,WND,Degs,1.0,-999999.0,NULL
NULL,TEMPERATURE,K,1.0,-999999.0,1,TEMPERATURE,K,1.0,-999999.0,NULL
NULL,H2O_MixingRatio,g kg-1,1.0,-999999.0,1,H2O_MixingRatio,g kg-1,1.0,-999999.0,NULL
NULL,TAS,m/s,1.0,-999999.0,1,TAS,m/s,1.0,-999999.0,NULL
NULL,H2O_VolMixingRatio_PICARRO,%,1.0,-999999.0,1,H2O_VolMixingRatio_PICARRO,%,1.0,-999999.0,NULL
NULL,Radar_ALT,km,1.0,-999999.0,1,Radar_ALT,km,1.0,-999999.0,NULL
NULL,ManeuverFlag,none,1.0,-999999.0,1,ManeuverFlag,none,1.0,-999999.0,NULL
NULL,LATITUDE,degs,1.0,-999999.0,1,LATITUDE,degs,1.0,-999999.0,NULL
NULL,ROLL,degs,1.0,-999999.0,1,ROLL,degs,1.0,-999999.0,NULL
NULL,Altitude-AGL_GoogleMaps,km,1.0,-999999.0,1,Altitude-AGL_GoogleMaps,km,1.0,-999999.0,NULL
NULL,CH4_MixingRatio_PICARRO,ppmv,1.0,-999999.0,1,CH4_MixingRatio_PICARRO,ppmv,1.0,-999999.0,NULL
NULL,nC4H10_MoleFraction_PFP,ppt,1.0,-999999.0,1,nC4H10_MoleFraction_PFP,ppt,1.0,-999999.0,NULL
NULL,O3_MixingRatio,ppbv,1.0,-999999.0,1,O3_MixingRatio,ppbv,1.0,-999999.0,NULL
NULL,Altitude_AGL,km,1.0,-999999.0,1,Altitude_AGL,km,1.0,-999999.0,NULL
NULL,TotalAirTemp,K,1.0,-999999.0,1,TotalAirTemp,K,1.0,-999999.0,NULL
NULL,F365m_MoleFraction_PFP,ppt,1.0,-999999.0,1,F365m_MoleFraction_PFP,ppt,1.0,-999999.0,NULL
NULL,H2402_MoleFraction_PFP,ppt,1.0,-999999.0,1,H2402_MoleFraction_PFP,ppt,1.0,-999999.0,NULL
NULL,BENZ_MoleFraction_PFP,ppt,1.0,-999999.0,1,BENZ_MoleFraction_PFP,ppt,1.0,-999999.0,NULL
NULL,MLH-AMSL_CPL,km,1.0,-999999.0,1,MLH-AMSL_CPL,km,1.0,-999999.0,NULL
NULL,CH4_MoleFraction_PFP,ppb,1.0,-999999.0,1,CH4_MoleFraction_PFP,ppb,1.0,-999999.0,NULL
NULL,PITCH,degs,1.0,-999999.0,1,PITCH,degs,1.0,-999999.0,NULL
NULL,RHi_PICARRO,%,1.0,-999999.0,1,RHi_PICARRO,%,1.0,-999999.0,NULL
NULL,Ground_Elevation,km,1.0,-999999.0,1,Ground_Elevation,km,1.0,-999999.0,NULL
NULL,CO2_DryMoleFrac_PICARRO,ppm,1.0,-999999.0,1,CO2_DryMoleFrac_PICARRO,ppm,1.0,-999999.0,NULL
NULL,TCE_MoleFraction_PFP,ppt,1.0,-999999.0,1,TCE_MoleFraction_PFP,ppt,1.0,-999999.0,NULL
NULL,H2O_VaporPressure_Nav,hPa,1.0,-999999.0,1,H2O_VaporPressure_Nav,hPa,1.0,-999999.0,NULL
NULL,MEBR_MoleFraction_PFP,ppt,1.0,-999999.0,1,MEBR_MoleFraction_PFP,ppt,1.0,-999999.0,NULL
NULL,DIBR_MoleFraction_PFP,ppt,1.0,-999999.0,1,DIBR_MoleFraction_PFP,ppt,1.0,-999999.0,NULL
NULL,GroundElevation-AMSL_GoogleMaps,km,1.0,-999999.0,1,GroundElevation-AMSL_GoogleMaps,km,1.0,-999999.0,NULL
NULL,SolarZenithAngle,degs,1.0,-999999.0,1,SolarZenithAngle,degs,1.0,-999999.0,NULL
NULL,DriftAngle,degs,1.0,-999999.0,1,DriftAngle,degs,1.0,-999999.0,NULL
NULL,HDG,degs,1.0,-999999.0,1,HDG,degs,1.0,-999999.0,NULL
NULL,O3_MoleFraction,ppb,1.0,-999999.0,1,O3_MoleFraction,ppb,1.0,-999999.0,NULL
NULL,H2O_MixingRatio_Nav,g kg-1,1.0,-999999.0,1,H2O_MixingRatio_Nav,g kg-1,1.0,-999999.0,NULL
NULL,H2O_SatVaporPressureWater_Nav,hPa,1.0,-999999.0,1,H2O_SatVaporPressureWater_Nav,hPa,1.0,-999999.0,NULL
NULL,Dewpoint,K,1.0,-999999.0,1,Dewpoint,K,1.0,-999999.0,NULL
NULL,H2O_VaporPressure_PICARRO,hPa,1.0,-999999.0,1,H2O_VaporPressure_PICARRO,hPa,1.0,-999999.0,NULL
NULL,F13_MoleFraction_PFP,ppt,1.0,-999999.0,1,F13_MoleFraction_PFP,ppt,1.0,-999999.0,NULL
NULL,F23_MoleFraction_PFP,ppt,1.0,-999999.0,1,F23_MoleFraction_PFP,ppt,1.0,-999999.0,NULL
NULL,SunAzimuth,degs,1.0,-999999.0,1,SunAzimuth,degs,1.0,-999999.0,NULL
