VARIABLE_MAP,ICARTT_NAME,ICARTT_UNITS,ICARTT_SCALE,ICARTT_FILL,OUTPUT_INCLUDE,OUTPUT_NAME,OUTPUT_UNITS,OUTPUT_SCALE,OUTPUT_FILL,USER_FUNC
references/actamerica/variables/C130/AircraftSunAzimuth.json,AircraftSunAzimuth,degs,1,-999999,1,AircraftSunAzimuth,degs,1,-999999,NULL
references/actamerica/variables/C130/AircraftSunElevation.json,AircraftSunElevation,degs,1,-999999,1,AircraftSunElevation,degs,1,-999999,NULL
references/actamerica/variables/C130/Altitude-AGL_GoogleMaps.json,Altitude_AGL,km,1,-999999,1,Altitude_AGL,m,1000,-999999,NULL
references/actamerica/variables/C130/Altitude_AGL.json,Altitude-AGL_GoogleMaps,km,1,-999999,1,Altitude_AGL,m,1000,-999999,NULL
references/actamerica/variables/C130/ALTP.json,ALTP,km,1,-999999,1,ALTP,m,1000,-999999,NULL
references/actamerica/variables/C130/BENZ_MoleFraction_PFP.json,BENZ_MoleFraction_PFP,ppt,1,-999999,1,BENZ_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/C130/C2F6_MoleFraction_PFP.json,C2F6_MoleFraction_PFP,ppt,1,-999999,1,C2F6_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/C130/C2H2_MoleFraction_PFP.json,C2H2_MoleFraction_PFP,ppt,1,-999999,1,C2H2_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/C130/C2H6_MoleFraction_PFP.json,C2H6_MoleFraction_PFP,ppt,1,-999999,1,C2H6_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/C130/C3H8_MoleFraction_PFP.json,C3H8_MoleFraction_PFP,ppt,1,-999999,1,C3H8_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/C130/CabinPressure.json,CabinPressure,hPa,1,-999999,1,CabinPressure,hPa,1,-999999,NULL
references/actamerica/variables/C130/CF4_MoleFraction_PFP.json,CF4_MoleFraction_PFP,ppt,1,-999999,1,CF4_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/C130/CH2BrCl_MoleFraction_PFP.json,CH2BrCl_MoleFraction_PFP,ppt,1,-999999,1,CH2BrCl_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/C130/CH3I_MoleFraction_PFP.json,CH3I_MoleFraction_PFP,ppt,1,-999999,1,CH3I_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/C130/CH4_DryMoleFrac_PICARRO.json,CH4_DryMoleFrac_PICARRO,ppm,1,-999999,1,CH4_MixingRatio_PICARRO,ppm,1,-999999,NULL
