VARIABLE_MAP,NETCDF_NAME,ICARTT_NAME,ICARTT_UNITS,ICARTT_SCALE,ICARTT_FILL,BOOL_INCLUDE,USERFUNC
references/actamerica/variables/Wind_Speed.json,Wind_Speed,WNS,m/s,1,-999999,1,NULL
references/actamerica/variables/Wind_Direction.json,Wind_Direction,WND,Degs,1,-999999,1,NULL
references/actamerica/variables/VerticalSpeed.json,VerticalSpeed,VerticalSpeed,ft min-1,1,-999999,1,NULL
references/actamerica/variables/v_wind.json,V_WINDS,V_WINDS,m s-1,1,-999999,1,NULL
references/actamerica/variables/UTC.json,UTC,UTC,s,1,nan,1,NULL
references/actamerica/variables/u_wind.json,U_WINDS,U_WINDS,m s-1,1,-999999,1,NULL
references/actamerica/variables/TRK.json,TRK,TRK,degs,1,-999999,1,NULL
references/actamerica/variables/TotalAirTemp.json,TotalAirTemp,TotalAirTemp,K,1,-999999,1,NULL
references/actamerica/variables/TOL_MoleFraction_PFP.json,TOL_MoleFraction_PFP,TOL_MoleFraction_PFP,ppt,1,-999999,1,NULL
references/actamerica/variables/THETA.json,THETA,THETA,K,1,-999999,1,NULL
references/actamerica/variables/TEMPERATURE.json,TEMPERATURE,TEMPERATURE,K,1,-999999,1,NULL
references/actamerica/variables/TCE_MoleFraction_PFP.json,TCE_MoleFraction_PFP,TCE_MoleFraction_PFP,ppt,1,-999999,1,NULL
references/actamerica/variables/TAS.json,TAS,TAS,m/s,1,-999999,1,NULL
references/actamerica/variables/SZA.json,SZA,SZA,deg,1,-999999,1,NULL
references/actamerica/variables/SunAzimuth.json,SunAzimuth,SunAzimuth,degs,1,-999999,1,NULL
references/actamerica/variables/StaticPressure.json,StaticPressure,StaticPressure,hPa,1,-999999,1,NULL
references/actamerica/variables/SolarZenithAngle.json,SolarZenithAngle,SolarZenithAngle,degs,1,-999999,1,NULL
references/actamerica/variables/SO2F2_MoleFraction_PFP.json,SO2F2_MoleFraction_PFP,SO2F2_MoleFraction_PFP,ppt,1,-999999,1,NULL
